Linguagem,Projeto,Numero de Tokens de Codigo Fonte (Excluindo Tokens de Comentario),Numero de Tokens apenas dos Comentarios,Numero Total de Tokens do Projeto,NTCF/NTTP (%),NTC/NTTP (%),Numero de Caracteres de Codigo Fonte (Excluindo Caracteres de Comentario),Numero de Caracteres apenas dos Comentarios,Numero Total de Carateres do Projeto,NCCF/NTCP (%),NCC/NTCP (%)
Java,81813780 | AVLoadingIndicatorView,16022,841,16863,95.01,4.99,61523,3347,64870,94.84,5.16
Java,airbnb | lottie-android,89229,11535,100764,88.55,11.45,378332,45826,424158,89.20,10.80
Java,alibaba | ARouter,27972,7982,35954,77.80,22.20,118976,30384,149360,79.66,20.34
Java,alibaba | arthas,165102,42285,207387,79.61,20.39,650360,174390,824750,78.86,21.14
Java,alibaba | atlas,1008487,1232160,2240647,45.01,54.99,4181615,5043219,9224834,45.33,54.67
Java,alibaba | canal,470306,81683,551989,85.20,14.80,1971333,362982,2334315,84.45,15.55
Java,alibaba | druid,2097279,478555,2575834,81.42,18.58,9653060,2054229,11707289,82.45,17.55
Java,alibaba | fastjson,1109024,77282,1186306,93.49,6.51,4341673,313124,4654797,93.27,6.73
Java,alibaba | Sentinel,307962,138003,445965,69.06,30.94,1312472,563599,1876071,69.96,30.04
Java,alibaba | vlayout,92229,28438,120667,76.43,23.57,399880,111606,511486,78.18,21.82
Java,android10 | Android-CleanArchitecture,20006,12233,32239,62.06,37.94,94571,50451,145022,65.21,34.79
Java,androidannotations | androidannotations,279803,164683,444486,62.95,37.05,1444092,674522,2118614,68.16,31.84
Java,android-hacker | VirtualXposed,311392,29051,340443,91.47,8.53,1300198,115316,1415514,91.85,8.15
Java,aosp-mirror | platform_frameworks_base,14249768,6701977,20951745,68.01,31.99,63232288,26954900,90187188,70.11,29.89
Java,apache | flink,5908294,2677262,8585556,68.82,31.18,26737050,10748003,37485053,71.33,28.67
Java,apache | hadoop,12796443,4396180,17192623,74.43,25.57,57383541,18469628,75853169,75.65,24.35
Java,apache | incubator-druid,3307138,876203,4183341,79.05,20.95,14928624,3796468,18725092,79.73,20.27
Java,apache | incubator-dubbo,965332,348020,1313352,73.50,26.50,3934851,1493064,5427915,72.49,27.51
Java,apache | incubator-shardingsphere,664561,306122,970683,68.46,31.54,3266187,1335086,4601273,70.98,29.02
Java,apache | incubator-zipkin,294446,98147,392593,75.00,25.00,1236303,416964,1653267,74.78,25.22
Java,apache | kafka,2054287,757233,2811520,73.07,26.93,9287872,3132418,12420290,74.78,25.22
Java,apache | rocketmq,629258,163870,793128,79.34,20.66,2905966,714114,3620080,80.27,19.73
Java,apache | skywalking,600107,277410,877517,68.39,31.61,2728257,1213881,3942138,69.21,30.79
Java,apache | zookeeper,693363,261265,954628,72.63,27.37,2874729,1107557,3982286,72.19,27.81
Java,AppIntro | AppIntro,12753,3265,16018,79.62,20.38,62107,13235,75342,82.43,17.57
Java,arduino | Arduino,182763,90685,273448,66.84,33.16,768897,364512,1133409,67.84,32.16
Java,b3log | solo,147704,71241,218945,67.46,32.54,664889,266308,931197,71.40,28.60
Java,b3log | symphony,267415,98641,366056,73.05,26.95,1214879,374473,1589352,76.44,23.56
Java,bazelbuild | bazel,5093500,2104689,7198189,70.76,29.24,25472383,8796616,34268999,74.33,25.67
Java,Bearded-Hen | Android-Bootstrap,90513,6094,96607,93.69,6.31,434597,26138,460735,94.33,5.67
Java,Bigkoo | Android-PickerView,31056,4700,35756,86.86,13.14,127525,27916,155441,82.04,17.96
Java,bilibili | DanmakuFlameMaster,64111,8445,72556,88.36,11.64,272982,37718,310700,87.86,12.14
Java,Blankj | AndroidUtilCode,165615,84126,249741,66.31,33.69,790133,302484,1092617,72.32,27.68
Java,brettwooldridge | HikariCP,72347,24418,96765,74.77,25.23,340522,102394,442916,76.88,23.12
Java,bumptech | glide,462948,108737,571685,80.98,19.02,2059235,440807,2500042,82.37,17.63
Java,CarGuo | GSYVideoPlayer,171063,25585,196648,86.99,13.01,798999,141889,940888,84.92,15.08
Java,chrisbanes | Android-PullToRefresh,22827,11276,34103,66.94,33.06,111593,50735,162328,68.75,31.25
Java,chrisbanes | cheesesquare,3456,484,3940,87.72,12.28,19058,2026,21084,90.39,9.61
Java,chrisbanes | PhotoView,9728,2686,12414,78.36,21.64,44264,11323,55587,79.63,20.37
Java,chrisjenx | Calligraphy,7421,4281,11702,63.42,36.58,33352,17949,51301,65.01,34.99
Java,ChrisRM | material-theme-jetbrains,125017,83458,208475,59.97,40.03,628502,345132,973634,64.55,35.45
Java,clojure | clojure,310723,125719,436442,71.19,28.81,1062655,459429,1522084,69.82,30.18
Java,code4craft | webmagic,75629,11219,86848,87.08,12.92,478059,42862,520921,91.77,8.23
Java,codecentric | spring-boot-admin,136336,37768,174104,78.31,21.69,618595,161388,779983,79.31,20.69
Java,crazycodeboy | TakePhoto,17995,2732,20727,86.82,13.18,75241,15481,90722,82.94,17.06
Java,crossoverJie | JCSprout,23631,3941,27572,85.71,14.29,81860,19443,101303,80.81,19.19
Java,ctripcorp | apollo,349872,22984,372856,93.84,6.16,1749823,90677,1840500,95.07,4.93
Java,Curzibn | Luban,6838,1336,8174,83.66,16.34,26229,4872,31101,84.33,15.67
Java,CymChad | BaseRecyclerViewAdapterHelper,40854,11145,51999,78.57,21.43,180203,47077,227280,79.29,20.71
Java,cymcsg | UltimateRecyclerView,111394,29932,141326,78.82,21.18,514078,127003,641081,80.19,19.81
Java,daimajia | AndroidSwipeLayout,18555,1496,20051,92.54,7.46,75432,6143,81575,92.47,7.53
Java,daimajia | AndroidViewAnimations,11386,14526,25912,43.94,56.06,50420,58967,109387,46.09,53.91
Java,daniulive | SmarterStreaming,60277,33229,93506,64.46,35.54,285597,146237,431834,66.14,33.86
Java,dbeaver | dbeaver,2261079,591887,2852966,79.25,20.75,10194647,2512848,12707495,80.23,19.77
Java,deeplearning4j | deeplearning4j,4649242,1644398,6293640,73.87,26.13,18056975,7571512,25628487,70.46,29.54
Java,dianping | cat,717527,212965,930492,77.11,22.89,2831630,917089,3748719,75.54,24.46
Java,didi | DoraemonKit,146597,10473,157070,93.33,6.67,623634,48297,671931,92.81,7.19
Java,didi | VirtualAPK,50035,10357,60392,82.85,17.15,219047,40589,259636,84.37,15.63
Java,DrKLO | Telegram,3190893,505301,3696194,86.33,13.67,13984518,2033698,16018216,87.30,12.70
Java,DroidPluginTeam | DroidPlugin,129567,48397,177964,72.81,27.19,586070,223567,809637,72.39,27.61
Java,dropwizard | dropwizard,419142,61300,480442,87.24,12.76,1902879,225474,2128353,89.41,10.59
Java,dropwizard | metrics,141549,23364,164913,85.83,14.17,611779,88164,699943,87.40,12.60
Java,eclipse-vertx | vert.x,817044,209504,1026548,79.59,20.41,3256312,854117,4110429,79.22,20.78
Java,elastic | elasticsearch,12058186,2494547,14552733,82.86,17.14,55331587,10774087,66105674,83.70,16.30
Java,EnterpriseQualityCoding | FizzBuzzEnterpriseEdition,10618,43,10661,99.60,0.40,68020,170,68190,99.75,0.25
Java,eugenp | tutorials,2422124,117804,2539928,95.36,4.64,10946173,482274,11428447,95.78,4.22
Java,facebook | buck,5133262,1425866,6559128,78.26,21.74,24484219,5874349,30358568,80.65,19.35
Java,facebook | fresco,543458,174954,718412,75.65,24.35,2650486,700249,3350735,79.10,20.90
Java,facebook | stetho,114326,31995,146321,78.13,21.87,525883,127289,653172,80.51,19.49
Java,florent37 | MaterialViewPager,10829,2006,12835,84.37,15.63,50642,9896,60538,83.65,16.35
Java,forezp | SpringCloudLearning,26965,2552,29517,91.35,8.65,127992,12416,140408,91.16,8.84
Java,GcsSloop | AndroidNote,2376,509,2885,82.36,17.64,9016,2211,11227,80.31,19.69
Java,geeeeeeeeek | WeChatLuckyMoney,7536,447,7983,94.40,5.60,34685,2230,36915,93.96,6.04
Java,google | agera,96294,38909,135203,71.22,28.78,448904,153786,602690,74.48,25.52
Java,google | auto,161848,68264,230112,70.33,29.67,814413,274462,1088875,74.79,25.21
Java,GoogleContainerTools | jib,232111,98892,331003,70.12,29.88,1193672,407414,1601086,74.55,25.45
Java,google | ExoPlayer,879873,436996,1316869,66.82,33.18,4194703,1766959,5961662,70.36,29.64
Java,google | gson,185363,70918,256281,72.33,27.67,749639,276414,1026053,73.06,26.94
Java,google | guava,3866156,1636964,5503120,70.25,29.75,15570705,6309438,21880143,71.16,28.84
Java,google | guice,445849,161031,606880,73.47,26.53,1897310,646468,2543778,74.59,25.41
Java,google | physical-web,49946,21043,70989,70.36,29.64,224849,84785,309634,72.62,27.38
Java,googlesamples | android-testing,18131,13593,31724,57.15,42.85,81941,55317,137258,59.70,40.30
Java,googlesamples | easypermissions,16152,2960,19112,84.51,15.49,82908,12692,95600,86.72,13.28
Java,google | tink,285317,118515,403832,70.65,29.35,1312894,513262,1826156,71.89,28.11
Java,greenrobot | EventBus,32670,15211,47881,68.23,31.77,150776,64165,214941,70.15,29.85
Java,greenrobot | greenDAO,134991,42774,177765,75.94,24.06,555674,172899,728573,76.27,23.73
Java,H07000223 | FlycoTabLayout,19887,1256,21143,94.06,5.94,88916,7085,96001,92.62,7.38
Java,hackware1993 | MagicIndicator,29304,1222,30526,96.00,4.00,136835,7323,144158,94.92,5.08
Java,hankcs | HanLP,429712,125315,555027,77.42,22.58,1492769,564071,2056840,72.58,27.42
Java,HannahMitt | HomeMirror,10475,2616,13091,80.02,19.98,47831,9121,56952,83.98,16.02
Java,hdodenhof | CircleImageView,2201,116,2317,94.99,5.01,9921,494,10415,95.26,4.74
Java,hongyangAndroid | AndroidAutoLayout,18127,1378,19505,92.94,7.06,74617,5916,80533,92.65,7.35
Java,hongyangAndroid | okhttputils,14837,1192,16029,92.56,7.44,59433,5153,64586,92.02,7.98
Java,iBotPeaches | Apktool,81525,24451,105976,76.93,23.07,338570,103230,441800,76.63,23.37
Java,iluwatar | java-design-patterns,202852,326513,529365,38.32,61.68,835395,1340709,2176104,38.39,61.61
Java,ityouknow | spring-boot-examples,41504,1277,42781,97.02,2.98,182082,6957,189039,96.32,3.68
Java,JakeWharton | ActionBarSherlock,161617,89022,250639,64.48,35.52,748809,361778,1110587,67.42,32.58
Java,JakeWharton | butterknife,73187,6619,79806,91.71,8.29,402498,25139,427637,94.12,5.88
Java,JakeWharton | hugo,3077,34,3111,98.91,1.09,11218,129,11347,98.86,1.14
Java,JakeWharton | ViewPagerIndicator,20476,2513,22989,89.07,10.93,91842,10187,102029,90.02,9.98
Java,java-decompiler | jd-gui,119429,17434,136863,87.26,12.74,499548,70244,569792,87.67,12.33
Java,jeasonlzy | okhttp-OkGo,100928,36141,137069,73.63,26.37,405013,191346,596359,67.91,32.09
Java,jenkinsci | jenkins,1166368,661032,1827400,63.83,36.17,4965278,2624745,7590023,65.42,34.58
Java,JessYanCoding | AndroidAutoSize,10969,13073,24042,45.62,54.38,51848,67902,119750,43.30,56.70
Java,JessYanCoding | MVPArms,47410,33759,81169,58.41,41.59,204408,164880,369288,55.35,44.65
Java,jfeinstein10 | SlidingMenu,21407,6076,27483,77.89,22.11,91307,27867,119174,76.62,23.38
Java,jhy | jsoup,151601,45698,197299,76.84,23.16,622134,163603,785737,79.18,20.82
Java,junit-team | junit4,193229,53523,246752,78.31,21.69,858490,197660,1056150,81.28,18.72
Java,kaushikgopal | RxJava-Android-Samples,21626,2845,24471,88.37,11.63,92827,9092,101919,91.08,8.92
Java,kdn251 | interviews,84360,70058,154418,54.63,45.37,222811,235526,458337,48.61,51.39
Java,Konloch | bytecode-viewer,145832,39153,184985,78.83,21.17,584644,165612,750256,77.93,22.07
Java,koral-- | android-gif-drawable,21621,11002,32623,66.28,33.72,100275,44265,144540,69.38,30.62
Java,koush | AndroidAsync,133164,32240,165404,80.51,19.49,524542,123721,648263,80.91,19.09
Java,ksoichiro | Android-ObservableScrollView,82602,23419,106021,77.91,22.09,390747,100758,491505,79.50,20.50
Java,laobie | StatusBarUtil,7571,1197,8768,86.35,13.65,35558,6612,42170,84.32,15.68
Java,lecho | hellocharts-android,66942,13726,80668,82.98,17.02,293531,55410,348941,84.12,15.88
Java,lgvalle | Material-Animations,7225,397,7622,94.79,5.21,32858,1873,34731,94.61,5.39
Java,liaohuqiu | android-Ultra-Pull-To-Refresh,35438,3064,38502,92.04,7.96,156108,11399,167507,93.19,6.81
Java,libgdx | libgdx,2254697,757708,3012405,74.85,25.15,9169914,3131165,12301079,74.55,25.45
Java,lingochamp | FileDownloader,87122,39786,126908,68.65,31.35,515434,159616,675050,76.35,23.65
Java,linlinjava | litemall,389194,166287,555481,70.06,29.94,1753711,911887,2665598,65.79,34.21
Java,lipangit | JiaoZiVideoPlayer,32245,1541,33786,95.44,4.56,148555,9064,157619,94.25,5.75
Java,LitePalFramework | LitePal,90422,59445,149867,60.33,39.67,365150,228264,593414,61.53,38.47
Java,LMAX-Exchange | disruptor,77606,38338,115944,66.93,33.07,344799,153388,498187,69.21,30.79
Java,loopj | android-async-http,53317,27216,80533,66.21,33.79,224435,116220,340655,65.88,34.12
Java,LuckSiege | PictureSelector,113852,23815,137667,82.70,17.30,494196,104515,598711,82.54,17.46
Java,lzyzsd | JsBridge,3930,566,4496,87.41,12.59,16907,2690,19597,86.27,13.73
Java,macrozheng | mall,379328,6730,386058,98.26,1.74,1825194,37304,1862498,98.00,2.00
Java,material-components | material-components-android,331390,147417,478807,69.21,30.79,1602651,622308,2224959,72.03,27.97
Java,medcl | elasticsearch-analysis-ik,15031,6037,21068,71.35,28.65,57024,33808,90832,62.78,37.22
Java,mikepenz | MaterialDrawer,63810,18816,82626,77.23,22.77,310133,79012,389145,79.70,20.30
Java,mission-peace | interview,211131,36500,247631,85.26,14.74,577519,149460,726979,79.44,20.56
Java,mockito | mockito,342676,152119,494795,69.26,30.74,1552226,567364,2119590,73.23,26.77
Java,mybatis | mybatis-3,416290,166132,582422,71.48,28.52,1813619,706631,2520250,71.96,28.04
Java,MyCATApache | Mycat-Server,726253,207193,933446,77.80,22.20,2831445,920560,3752005,75.46,24.54
Java,nathanmarz | storm,328578,101039,429617,76.48,23.52,1330728,432145,1762873,75.49,24.51
Java,NationalSecurityAgency | ghidra,8433861,3272412,11706273,72.05,27.95,37188250,13669743,50857993,73.12,26.88
Java,navasmdc | MaterialDesignLibrary,20249,1388,21637,93.59,6.41,80655,5831,86486,93.26,6.74
Java,naver | pinpoint,2246939,671510,2918449,76.99,23.01,10774058,2792728,13566786,79.41,20.59
Java,neo4j | neo4j,3994934,1439854,5434788,73.51,26.49,17678986,5489127,23168113,76.31,23.69
Java,Netflix | eureka,250567,71613,322180,77.77,22.23,1231780,298301,1530081,80.50,19.50
Java,Netflix | Hystrix,425566,139495,565061,75.31,24.69,1985748,602552,2588300,76.72,23.28
Java,Netflix | SimianArmy,156191,55801,211992,73.68,26.32,704011,228691,932702,75.48,24.52
Java,Netflix | zuul,123848,48618,172466,71.81,28.19,593994,201986,795980,74.62,25.38
Java,netty | netty,1841701,797312,2639013,69.79,30.21,7990241,3184703,11174944,71.50,28.50
Java,nostra13 | Android-Universal-Image-Loader,46728,47675,94403,49.50,50.50,220279,199902,420181,52.42,47.58
Java,ogaclejapan | SmartTabLayout,13612,4885,18497,73.59,26.41,61493,18820,80313,76.57,23.43
Java,OpenRefine | OpenRefine,494358,276608,770966,64.12,35.88,2067163,1280731,3347894,61.75,38.25
Java,oracle | graal,6007297,2952500,8959797,67.05,32.95,25983606,11832686,37816292,68.71,31.29
Java,orhanobut | logger,5853,1787,7640,76.61,23.39,23085,7531,30616,75.40,24.60
Java,pagehelper | Mybatis-PageHelper,49654,32051,81705,60.77,39.23,196473,145925,342398,57.38,42.62
Java,pedant | sweet-alert-dialog,5766,229,5995,96.18,3.82,26050,1006,27056,96.28,3.72
Java,permissions-dispatcher | PermissionsDispatcher,25225,2110,27335,92.28,7.72,261013,9150,270163,96.61,3.39
Java,perwendel | spark,76529,42613,119142,64.23,35.77,335368,172107,507475,66.09,33.91
Java,PhilJay | MPAndroidChart,179943,48835,228778,78.65,21.35,716282,183128,899410,79.64,20.36
Java,pockethub | PocketHub,69355,27969,97324,71.26,28.74,291126,111875,403001,72.24,27.76
Java,prestodb | presto,4624541,791947,5416488,85.38,14.62,22030876,3361346,25392222,86.76,13.24
Java,proxyee-down-org | proxyee-down,29185,981,30166,96.75,3.25,121761,6374,128135,95.03,4.97
Java,qiurunze123 | miaosha,70770,13044,83814,84.44,15.56,296775,69312,366087,81.07,18.93
Java,ReactiveX | RxAndroid,8618,2029,10647,80.94,19.06,37468,8439,45907,81.62,18.38
Java,ReactiveX | RxJava,1940230,731314,2671544,72.63,27.37,7114752,2933269,10048021,70.81,29.19
Java,react-native-community | lottie-react-native,2565,257,2822,90.89,9.11,12046,1181,13227,91.07,8.93
Java,react-native-community | react-native-camera,63300,6979,70279,90.07,9.93,288926,29370,318296,90.77,9.23
Java,realm | realm-java,701836,251221,953057,73.64,26.36,3179752,1026248,4206000,75.60,24.40
Java,redisson | redisson,1088580,328750,1417330,76.80,23.20,4339260,1280446,5619706,77.22,22.78
Java,roughike | BottomBar,21197,3061,24258,87.38,12.62,101212,12682,113894,88.87,11.13
Java,rzwitserloot | lombok,546378,140716,687094,79.52,20.48,2237379,565585,2802964,79.82,20.18
Java,scwang90 | SmartRefreshLayout,141386,29279,170665,82.84,17.16,711841,141611,853452,83.41,16.59
Java,seata | seata,181725,86997,268722,67.63,32.37,837459,353327,1190786,70.33,29.67
Java,SeleniumHQ | selenium,733838,321374,1055212,69.54,30.46,3207848,1389936,4597784,69.77,30.23
Java,shuzheng | zheng,207313,10034,217347,95.38,4.62,912976,48712,961688,94.93,5.07
Java,signalapp | Signal-Android,778104,57740,835844,93.09,6.91,3607959,226720,3834679,94.09,5.91
Java,skylot | jadx,389344,17184,406528,95.77,4.23,1444301,62524,1506825,95.85,4.15
Java,spring-projects | spring-boot,2011124,850687,2861811,70.27,29.73,10016311,3583169,13599480,73.65,26.35
Java,spring-projects | spring-framework,4706971,2625389,7332360,64.19,35.81,22759167,11074297,33833464,67.27,32.73
Java,square | dagger,60164,27122,87286,68.93,31.07,266765,107058,373823,71.36,28.64
Java,square | javapoet,62372,10673,73045,85.39,14.61,275468,41629,317097,86.87,13.13
Java,square | okhttp,335074,59650,394724,84.89,15.11,1433578,243080,1676658,85.50,14.50
Java,square | picasso,73854,14211,88065,83.86,16.14,319673,56702,376375,84.93,15.07
Java,square | retrofit,155296,42990,198286,78.32,21.68,651882,168677,820559,79.44,20.56
Java,stanfordnlp | CoreNLP,3464306,979019,4443325,77.97,22.03,23538407,3729331,27267738,86.32,13.68
Java,tbruyelle | RxPermissions,8786,856,9642,91.12,8.88,38403,3524,41927,91.59,8.41
Java,Tencent | QMUI_Android,286644,62647,349291,82.06,17.94,1305124,286884,1592008,81.98,18.02
Java,Tencent | tinker,222775,65522,288297,77.27,22.73,999709,270366,1270075,78.71,21.29
Java,Tencent | VasSonic,48991,20747,69738,70.25,29.75,241239,84838,326077,73.98,26.02
Java,TheAlgorithms | Java,70285,24871,95156,73.86,26.14,199866,92789,292655,68.29,31.71
Java,trello | RxLifecycle,26713,7673,34386,77.69,22.31,122336,33449,155785,78.53,21.47
Java,umano | AndroidSlidingUpPanel,13322,7155,20477,65.06,34.94,55900,28241,84141,66.44,33.56
Java,vondear | RxTool,308734,76040,384774,80.24,19.76,1367265,322934,1690199,80.89,19.11
Java,wasabeef | glide-transformations,10341,3498,13839,74.72,25.28,42507,14414,56921,74.68,25.32
Java,wasabeef | recyclerview-animators,10694,3675,14369,74.42,25.58,47518,15626,63144,75.25,24.75
Java,winterbe | java8-tutorial,18788,1482,20270,92.69,7.31,67598,5402,73000,92.60,7.40
Java,wix | react-native-navigation,146914,546,147460,99.63,0.37,656106,2480,658586,99.62,0.38
Java,xetorthio | jedis,257464,45623,303087,84.95,15.05,935891,156602,1092493,85.67,14.33
Java,xuxueli | xxl-job,47854,7217,55071,86.90,13.10,200562,31720,232282,86.34,13.66
Java,Yalantis | uCrop,35079,6413,41492,84.54,15.46,166731,25666,192397,86.66,13.34
Java,YoKeyword | Fragmentation,62556,7606,70162,89.16,10.84,285906,37377,323283,88.44,11.56
Java,youth5201314 | banner,13610,4864,18474,73.67,26.33,56275,20587,76862,73.22,26.78
Java,zhihu | Matisse,27459,8329,35788,76.73,23.27,120867,34493,155360,77.80,22.20
Java,zxing | zxing,333969,132068,466037,71.66,28.34,1308505,532896,1841401,71.06,28.94
